#frequency	noise-free	noisy
84052.8211	0.000000E+00	1.505051E-01
84053.3093	0.000000E+00	-3.134315E-01
84053.7976	0.000000E+00	-8.963494E-03
84054.2859	0.000000E+00	-1.483110E-02
84054.7741	0.000000E+00	-9.973277E-02
84055.2624	0.000000E+00	-6.885607E-02
84055.7506	0.000000E+00	1.577047E-01
84056.2389	0.000000E+00	-1.911315E-01
84056.7271	0.000000E+00	-2.621983E-01
84057.2154	0.000000E+00	2.903129E-01
84057.7036	0.000000E+00	1.786027E-01
84058.1919	0.000000E+00	-2.476763E-01
84058.6801	0.000000E+00	-5.427584E-02
84059.1684	0.000000E+00	-5.328259E-02
84059.6566	0.000000E+00	-1.560947E-01
84060.1449	0.000000E+00	-6.775426E-02
84060.6331	0.000000E+00	2.575408E-01
84061.1214	0.000000E+00	3.688987E-01
84061.6096	0.000000E+00	-5.766437E-02
84062.0979	0.000000E+00	1.990059E-01
84062.5861	0.000000E+00	2.481340E-01
84063.0744	0.000000E+00	-7.015479E-02
84063.5626	0.000000E+00	-8.612923E-02
84064.0509	0.000000E+00	5.089380E-02
84064.5391	0.000000E+00	-2.917514E-02
84065.0274	0.000000E+00	5.704725E-02
84065.5156	0.000000E+00	2.834265E-02
84066.0039	0.000000E+00	-1.474884E-01
84066.4922	0.000000E+00	-6.903233E-02
84066.9804	0.000000E+00	-3.934851E-02
84067.4687	0.000000E+00	-9.542119E-02
84067.9569	0.000000E+00	-5.366401E-02
84068.4452	0.000000E+00	-4.874651E-02
84068.9334	0.000000E+00	-6.441738E-02
84069.4217	0.000000E+00	2.399573E-01
84069.9099	0.000000E+00	4.002749E-02
84070.3982	0.000000E+00	-1.324336E-01
84070.8864	0.000000E+00	1.486168E-01
84071.3747	0.000000E+00	4.469989E-01
84071.8629	0.000000E+00	2.401940E-01
84072.3512	0.000000E+00	-7.292017E-02
84072.8394	0.000000E+00	6.600672E-02
84073.3277	0.000000E+00	-1.471385E-01
84073.8159	0.000000E+00	-1.236748E-01
84074.3042	0.000000E+00	-1.922251E-01
84074.7924	0.000000E+00	-1.662836E-01
84075.2807	0.000000E+00	1.075158E-01
84075.7689	3.295065E-14	1.174976E-01
84076.2572	1.561861E-11	1.621760E-01
84076.7454	5.935038E-09	1.044068E-01
84077.2337	1.155721E-06	-5.174395E-02
84077.7220	1.153754E-04	-2.732915E-02
84078.2102	5.905936E-03	-3.960029E-01
