#frequency	noise-free	noisy
348700.0000	0.000000E+00	-2.517690E+00
348700.4002	0.000000E+00	2.082411E+00
348700.8004	0.000000E+00	-3.507278E+00
348701.2006	0.000000E+00	2.432860E+00
348701.6008	0.000000E+00	-4.140494E-02
348702.0010	0.000000E+00	-4.436644E+00
348702.4012	0.000000E+00	1.865036E+00
348702.8014	0.000000E+00	6.747911E-01
348703.2016	0.000000E+00	3.011888E+00
348703.6018	0.000000E+00	-2.334024E+00
348704.0020	0.000000E+00	1.979508E+00
348704.4022	0.000000E+00	1.781514E+00
348704.8024	0.000000E+00	-1.421937E+00
348705.2026	0.000000E+00	7.033851E-01
348705.6028	0.000000E+00	4.902730E-01
348706.0030	0.000000E+00	1.528788E-01
348706.4032	0.000000E+00	-2.103014E+00
348706.8034	0.000000E+00	-4.095162E+00
348707.2036	0.000000E+00	-3.774751E+00
348707.6038	0.000000E+00	2.168943E+00
348708.0040	0.000000E+00	-2.894668E+00
348708.4042	0.000000E+00	1.203925E+00
348708.8044	0.000000E+00	1.274759E-01
348709.2046	0.000000E+00	-4.713566E-01
348709.6048	0.000000E+00	-7.727107E-01
348710.0050	0.000000E+00	-6.101887E+00
348710.4052	0.000000E+00	9.152666E-02
348710.8054	0.000000E+00	-3.193440E-01
348711.2056	0.000000E+00	-2.371964E+00
348711.6058	0.000000E+00	6.341587E+00
348712.0060	0.000000E+00	-4.599269E+00
348712.4062	0.000000E+00	2.525423E+00
348712.8064	0.000000E+00	1.889964E+00
348713.2066	0.000000E+00	2.184683E+00
348713.6068	0.000000E+00	-1.767253E+00
348714.0070	0.000000E+00	3.164721E+00
348714.4072	0.000000E+00	-7.620308E-01
348714.8074	0.000000E+00	-1.869445E+00
348715.2076	0.000000E+00	5.134197E-01
348715.6078	0.000000E+00	-2.267706E+00
348716.0080	0.000000E+00	-3.015986E+00
348716.4082	0.000000E+00	-3.162419E+00
348716.8084	0.000000E+00	-2.652088E+00
348717.2086	0.000000E+00	2.066020E+00
348717.6088	0.000000E+00	3.316170E+00
348718.0090	0.000000E+00	-2.163137E+00
348718.4092	0.000000E+00	9.910880E-01
348718.8094	0.000000E+00	-1.701378E+00
348719.2096	0.000000E+00	-3.786863E+00
348719.6098	0.000000E+00	7.331016E-01
348720.0100	0.000000E+00	1.173734E+00
348720.4102	0.000000E+00	-7.849781E-02
348720.8104	0.000000E+00	1.394270E-01
348721.2106	0.000000E+00	1.043560E+00
348721.6108	0.000000E+00	-1.656766E+00
348722.0110	0.000000E+00	1.212223E+00
348722.4112	0.000000E+00	4.270119E+00
348722.8114	0.000000E+00	-3.178551E-01
348723.2116	0.000000E+00	-1.442487E+00
348723.6118	0.000000E+00	1.149644E+00
348724.0120	2.683283E-14	3.391913E+00
348724.4122	8.049849E-14	6.572156E-01
348724.8124	4.293252E-13	3.615273E+00
348725.2126	2.146626E-12	-5.236591E-01
348725.6128	1.030381E-11	-2.126941E+00
348726.0130	4.741360E-11	-8.506163E-01
348726.4132	2.092960E-10	2.072214E-01
348726.8134	8.867980E-10	-2.779910E+00
348727.2136	3.606385E-09	-7.078054E-01
348727.6138	1.407698E-08	-8.630080E-01
348728.0140	5.273918E-08	-3.388439E+00
348728.4142	1.896456E-07	-3.997810E+00
348728.8144	6.545422E-07	2.274804E+00
348729.2146	2.168295E-06	-5.186214E+00
348729.6148	6.894210E-06	4.534063E+00
348730.0150	2.103955E-05	-1.657598E+00
348730.4152	6.162740E-05	-7.325479E-01
348730.8154	1.732594E-04	-1.044792E-01
348731.2156	4.675256E-04	-2.001829E+00
348731.6158	1.210875E-03	-1.100570E-01
348732.0160	3.010077E-03	2.193379E+00
348732.4162	7.181904E-03	-4.040918E+00
348732.8164	1.644685E-02	-2.185133E+00
348733.2166	3.614947E-02	-8.365185E-03
348733.6168	7.625853E-02	-6.307911E-01
348734.0170	1.543926E-01	-4.665330E+00
348734.4172	2.999780E-01	2.600815E+00
348734.8174	5.592882E-01	1.791820E+00
348735.2176	1.000468E+00	-6.606630E-01
348735.6178	1.716752E+00	1.075888E-01
