#frequency	noise-free	noisy
84052.8211	2.628516E-01	-1.722993E-01
84053.3093	8.434268E-01	-1.122032E+00
84053.7976	2.098456E+00	1.370911E+00
84054.2859	4.090236E+00	4.535518E+00
84054.7741	6.376759E+00	5.971961E+00
84055.2624	8.222593E+00	7.553927E+00
84055.7506	9.126548E+00	8.477182E+00
84056.2389	8.956740E+00	8.823996E+00
84056.7271	7.729034E+00	6.715959E+00
84057.2154	5.671349E+00	6.914185E+00
84057.7036	3.406878E+00	2.379371E+00
84058.1919	1.668446E+00	1.274763E+00
84058.6801	9.246868E-01	1.355293E+00
84059.1684	1.790413E+00	2.807624E+00
84059.6566	6.253866E+00	6.383217E+00
84060.1449	1.824509E+01	1.924906E+01
84060.6331	4.059565E+01	3.960113E+01
84061.1214	6.922788E+01	6.832674E+01
84061.6096	9.413203E+01	9.398736E+01
84062.0979	1.079804E+02	1.081782E+02
84062.5861	1.089925E+02	1.096656E+02
84063.0744	9.820748E+01	9.884985E+01
84063.5626	8.182009E+01	8.148301E+01
84064.0509	7.598007E+01	7.557533E+01
84064.5391	9.162162E+01	9.316422E+01
84065.0274	1.148215E+02	1.147498E+02
84065.5156	1.278878E+02	1.276017E+02
84066.0039	1.258395E+02	1.266895E+02
84066.4922	1.073063E+02	1.072667E+02
84066.9804	7.381069E+01	7.644497E+01
84067.4687	3.806119E+01	3.708433E+01
84067.9569	1.490598E+01	1.339085E+01
84068.4452	5.502752E+00	4.758904E+00
84068.9334	2.923381E+00	3.045542E+00
84069.4217	2.151127E+00	3.009052E+00
84069.9099	1.602687E+00	5.961611E-01
84070.3982	1.567383E+00	2.448001E+00
84070.8864	3.362572E+00	1.596839E+00
84071.3747	9.145670E+00	9.704439E+00
84071.8629	2.058110E+01	1.901167E+01
84072.3512	3.577916E+01	3.649122E+01
84072.8394	4.859327E+01	4.924741E+01
84073.3277	5.286319E+01	5.231666E+01
84073.8159	4.658356E+01	4.681506E+01
84074.3042	3.295532E+01	3.299701E+01
84074.7924	1.872777E+01	1.939392E+01
84075.2807	9.253500E+00	9.664579E+00
84075.7689	4.902691E+00	5.308272E+00
84076.2572	3.164999E+00	3.755061E+00
84076.7454	2.100725E+00	3.327290E+00
84077.2337	1.188136E+00	7.124684E-01
84077.7220	5.310730E-01	-8.535064E-01
84078.2102	1.837551E-01	4.418402E-01
84078.6985	4.989326E-02	8.775010E-01
84079.1867	1.935875E-02	-4.830796E-01
84079.6750	6.975053E-02	7.955173E-01
84080.1632	3.825280E-01	5.995817E-01
84080.6515	1.644682E+00	2.103636E+00
84081.1397	5.401570E+00	6.100222E+00
84081.6280	1.346485E+01	1.424974E+01
84082.1162	2.546300E+01	2.543012E+01
84082.6045	3.699727E+01	3.697518E+01
84083.0927	4.219848E+01	4.186255E+01
84083.5810	3.823972E+01	3.710044E+01
84084.0692	2.727679E+01	2.681626E+01
84084.5575	1.499211E+01	1.337375E+01
84085.0457	6.256867E+00	5.435243E+00
84085.5340	1.980699E+00	2.116281E+00
84086.0222	4.783240E-01	1.086351E+00
84086.5105	8.855577E-02	5.735840E-01
84086.9987	1.259809E-02	6.689895E-01
84087.4870	1.378147E-03	-6.495845E-01
84087.9752	1.159466E-04	-1.295718E+00
84088.4635	7.503085E-06	-5.322351E-01
84088.9517	3.915450E-07	1.085892E+00
84089.4400	4.056382E-07	-1.066467E+00
84089.9283	6.478656E-06	-1.000794E+00
84090.4165	8.248007E-05	-2.749650E-01
84090.9048	8.076796E-04	-5.579399E-01
84091.3930	6.083063E-03	-4.019467E-01
84091.8813	3.523502E-02	1.063110E-01
84092.3695	1.569317E-01	-4.533764E-01
84092.8578	5.371866E-01	6.544359E-01
84093.3460	1.412302E+00	5.917181E-01
84093.8343	2.851407E+00	3.234176E+00
84094.3225	4.428278E+00	4.768943E+00
84094.8108	5.314948E+00	6.224009E+00
84095.2990	4.996429E+00	5.723720E+00
84095.7873	3.892452E+00	4.507189E+00
84096.2755	3.098796E+00	2.905334E+00
84096.7638	3.445463E+00	3.271253E+00
84097.2520	4.773043E+00	3.638199E+00
84097.7403	6.127894E+00	7.311337E+00
84098.2285	6.904718E+00	7.735586E+00
84098.7168	8.072659E+00	8.081681E+00
84099.2050	1.193540E+01	1.234863E+01
84099.6933	1.958134E+01	1.808884E+01
84100.1815	2.834218E+01	2.604977E+01
84100.6698	3.324146E+01	3.297569E+01
84101.1580	3.133467E+01	3.127515E+01
